text,label,notes
"Looking at the 5 million sales for Rebirth, it mathematically proves that nobody cares about turn-based RPGs anymore and the genre is factually dead.",hot_take,"Borderline analysis due to stat usage, but the conclusion is pure hyperbole, making it a hot take."
My mind is literally blown that they somehow got the dodge roll startup down to 12 frames in that engine!!!,reaction,"Mentions technical frame data, but the framing is entirely an emotional reaction rather than an argument."
I am literally crying at how bad this stream is. Geoff Keighley has single-handedly destroyed the gaming industry forever.,hot_take,"Starts as a reaction, but the sweeping subjective accusation about ruining the industry pushes it into hot take territory."
"Sony's state of play was a complete disaster from a pacing perspective. You don't open a showcase with a 5v5 hero shooter that looks identical to Overwatch, especially when the market is already completely oversaturated with live-service games.",analysis,
"The input delay in the Elden Ring DLC makes the final boss mechanically unfair, not just 'hard'. When boss attack animations are 12 frames but the dodge roll startup is 14 frames, you are relying on luck instead of reaction time.",analysis,
Xbox is completely dead as a console manufacturer. Putting their biggest games on PlayStation just proves they lost the console war and have no idea what they are doing anymore.,hot_take,
"Breath of the Wild ruined the Zelda franchise. This new game just looks like more physics sandbox garbage instead of a real, structured Zelda game with proper dungeons.",hot_take,
"Arrowhead got lucky with Helldivers 2. Every single patch they've released since launch has actively made the game worse, and the player base is going to be completely dead by the fall.",hot_take,
"Geoff Keighley has completely ruined the Summer Game Fest. It's just a giant, overpriced billboard for mobile games now.",hot_take,
"Nobody actually wants to play as Zelda. Nintendo is just pandering, and it's going to be the worst-selling game on the Switch.",hot_take,
ZELDA IS FINALLY THE MAIN CHARACTER I AM LITERALLY SCREAMING RIGHT NOW!!!,reaction,
Just saw the new DOOM trailer. The shield saw is the greatest video game weapon ever created. Day one purchase.,reaction,
"Man, I'm just so exhausted with modern gaming. Every time I find a game I like, it gets ruined by some live-service update.",reaction,
I can't believe they actually pulled it off. This is the best gaming event I've watched in five years.,reaction,
"RIP to my wallet this fall, too many good games coming out all at once.",reaction,
"Man, this non-E3 week has been great with trailers of many high profile games!",reaction,
"I don’t think it was a bad show by any means, just… I wasn’t surprised by any of it? I figured more RE remakes were coming, I swear I read Alien Isolation 2 was in development a few weeks ago... A lot of trailers for games we’ve already heard about.",analysis,
"Thats always gonna be the state of major shows going forward. Stuff is leaked and so rapidly spread that you can't help but hear of it, and in order to prevent that these days, all the companies outright spell out whats gonna be revealed with hints.",analysis,
Tupac was the most surprising reveal to me,reaction,
Having him and Snoop just breaks immersion so much. It's disappointing because everything else looks so great,reaction,
"This isnt really new though. Yakuza has been doing this pretty much from the start, the difference is that you dont recognize the japanese celebrities present throughout most of them. As theyre now more internationally appealing, theyre using more international celebrities.",analysis,
I’m so bored with games incorporating real people into them for that exact reason. Even when games make the characters look like the people voicing them it’s just immersion breaking to me. It just seems lazy.,hot_take,
"Honestly youre a fool to have done it in the first place, why would anyone sit down to watch 2 hours of straight ads",hot_take,
i mean there were a lot of interesting announcements but I honestly can't stand this kind of show anymore. So many CGI trailer with zero actual gameplay and then some dev comes on the stage and spews some buzzwords that tell you absolutely nothing. I prefer the way Sony and Nintendo handle their shows with games usually only revealed when there is actual gameplay.,analysis,
"I think a lot of people are just hate-watching, waiting for validation to go on a rant online.",hot_take,
Man I am so sick of fantasy action games with a focus on heavy strike combat,reaction,
Wrong! 1 billion more bland UE5 soulslikes for you,hot_take,
the kingdom hearts wait is so depressing,reaction,
VERONICA LETS FUCKING GOOOO,reaction,
Blown away they deleted the record of the live stream for their own event. Absolutely braindead decision. I looked forward to this all week but I guess since I worked when the show was going I dont get to watch it.,reaction,
"I hate that the game industry now is just ""Popular Game: A Million Times Over"". I know that in the late 90s mascot platformers had this same thing, but its just the most prevelant development cycle now. Every game has to be Elden Ring because they failed at making every game Fortnite, which they tried after failing to make every game The Last of Us.",analysis,
"Way too much horror imo. Four things I don´t like: horror, souls games, jrpgs, multiplayer. Seems like each conference is fuller and fuller of these.",reaction,
Final Fantasy 7 Part 3 is the GTA of jrpgs,hot_take,
"Jesus, the anti-Japanese gaming sentiment is not only insanely stupid but just shows lack of ability to engage with a broad range of gameplay systems / stories",hot_take,
Which is bizarre at a time when every western studio is trying to do God of War 2018 cinemaslop and every Japanese studio has simultaneously learned how to make good PC ports AND are experimenting and pushing the medium forward like crazy.,analysis,
"Originality, gameplay I've never seen before that makes me say, ""Okay, that's what the future of video games should look like."" Playing the same old type of games forever is a waste of time and life.",hot_take,
"It wasn't that bad but it wasn't that great either which I think stings much more with just how stacked 2026, 2027 and 2028 are going to be for gaming. Most of the exciting announcements were for remakes/remasters that a lot of people already knew were coming so there wasn't much surprise factor",analysis,
Geoff is moving like this is the first time he’s seen the Tupac reveal LMAOOOO,reaction,
Man I'd be so pissed if I'd paid for a trailer spot and they showed it out of sync with the audio.,reaction,
Whoever is in charge of the audio / video is fucking up so bad. This delay is horrible.,reaction,
Can’t believe they got Tifa from Street Fighter for this Final Fantasy game,hot_take,
I’m basically only here due to Guild Wars 3 hopium,reaction,
These Chinese soulslikes are all starting to merge into one.,hot_take,
"Im expecting Half-Life 3, Bloodborne 2, Red Dead Redemption 3, and Portal 3. If I don’t see all of these I will be tweeting Geoff my disappointment.",hot_take,
"God nobody does art direction like Remedy, Control Resonant is already looking like one of the most visually striking games I’ve ever seen",analysis,
"No, seriously, how much money is being spent on this jittery, desynced show? Has to be in the tens of millions, at least, right?",analysis,
Can we keep celebrities dead? This shit is so dumb...,hot_take,
Everything is looking... Extremely fun and good? Loving this so far,reaction,
"Lost me at 3v1, should have been a Survival Horror with very heavy puzzle focus.",analysis,
I can't stop laughing at Sonic x Evangelion,reaction,
"Geoff Keighley's shows are always so much more chaotic and unpredictable compared to E3. We could just get like 100 Soulsborne clones one after an other like last year, we could get banger after banger like a couple of Geoff shows.",analysis,
"A racing game with a proper, deep narrative is very interesting.",analysis,
"I'm, uh, not sure how to feel about them putting Tupac in when can't consent since he's , y'know, dead.",analysis,
The gameplay is so stuttery in all these trailers. I'd be so mad if I was one of the studios having my game premiered like this.,analysis,
IOI kind of invested single player live service with Hitman and looks like they are doing the same thing with 007 which is very cool.,analysis,
"So instead of Soulslikes, are we getting Wukonglikes now? At least this one is just straight gameplay. And Chinese fantasy/mythology for the game world is fresh and new for now.",analysis,
You'd swear that gamers actually hate games based on a good chunk of the comments you're seeing.,hot_take,
So are they going to tell us if they're ai-ing Tupac's voice or are they just using a sound-alike?,analysis,
Haex looks alright but it makes me think just... games look great now. We got over a barrier where games didn't all look great.,analysis,
I always forget how toxic livestream comments are. Unmoderated cesspit.,reaction,
There should be more franchise games that are like XCOM. Midnight Suns was great.,analysis,
Devs at Capcom must be on cocaine. Their output is insane.,hot_take,
"Can't say a remaster for Wolf Among Us is totally necessary considering it's still playable on modern platforms, but I can't turn down an excuse to replay it again",analysis,
"An incredibly weak show. Audio desync issues throughout the show, how hard is it to get this right? You've had 6 prior attempts to perfect the technical side.",analysis,
"Dude I don’t want to play as this 13 year old femboy in a skin tight bodysuit, stellar blade was already kind of pushing it for me in terms of how weird it was",hot_take,
"Rebirth sold under 5 million copies. I personally love the series, but the remake trilogy cannot be remotely compared to GTA even in the JRPG space right now",analysis,
Persona 6 is probably the most anticipated jrpg over ff7 part 3 or ff17,hot_take,
I'm just going to say it: Shift Up ruined the industry and Resident Evil Code Veronica is just more proof of that.,hot_take,
Guild Wars 3 looks like absolute dog water. Square Enix hasn't made a good game in over a decade.,hot_take,
Anyone excited for Saw Genesis is literally part of the problem with modern gaming.,hot_take,
"From a purely mechanical standpoint, Stellar Blade 2 seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
I am literally crying right now. Alien Isolation 2 is finally real.,reaction,
The inclusion of the multiplayer integration in Saw Genesis shows that Shift Up is finally listening to player feedback regarding pacing and combat loops.,analysis,
The inclusion of the stealth elements in Alien Isolation 2 shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
Anyone excited for Alien Isolation 2 is literally part of the problem with modern gaming.,hot_take,
I'm just going to say it: Capcom ruined the industry and Saw Genesis is just more proof of that.,hot_take,
Anyone excited for Saw Genesis is literally part of the problem with modern gaming.,hot_take,
"Given the poor sales of their last title, Shift Up banking entirely on Saw Genesis to save their fiscal year is a massive gamble.",analysis,
"If you look closely at the lighting engine in Saw Genesis, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Who actually asked for Stellar Blade 2? So disappointed.,reaction,
You have to have zero taste to think Alien Isolation 2 looks like an actual step forward for the genre.,hot_take,
You have to have zero taste to think Guild Wars 3 looks like an actual step forward for the genre.,hot_take,
Who actually asked for Guild Wars 3? So disappointed.,reaction,
I've been waiting for Saw Genesis for literal years. Day one buy.,reaction,
I've been waiting for Stellar Blade 2 for literal years. Day one buy.,reaction,
The inclusion of the new combat system in Saw Genesis shows that Remedy is finally listening to player feedback regarding pacing and combat loops.,analysis,
You have to have zero taste to think Resident Evil Code Veronica looks like an actual step forward for the genre.,hot_take,
"From a purely mechanical standpoint, Guild Wars 3 seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
The decision to make Stellar Blade 2 a live-service model completely undermines the narrative structure Epic Games is known for.,analysis,
OMG Resident Evil Code Veronica LOOKS UNREAL I AM SO HYPED!!!,reaction,
The inclusion of the new combat system in Resident Evil Code Veronica shows that Remedy is finally listening to player feedback regarding pacing and combat loops.,analysis,
The decision to make Gothic Remake a live-service model completely undermines the narrative structure Nintendo is known for.,analysis,
Stellar Blade 2 looks like absolute dog water. Square Enix hasn't made a good game in over a decade.,hot_take,
"If you look closely at the lighting engine in Saw Genesis, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Anyone excited for Saw Genesis is literally part of the problem with modern gaming.,hot_take,
"If you look closely at the lighting engine in Alien Isolation 2, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Control Resonant looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
OMG Alien Isolation 2 LOOKS UNREAL I AM SO HYPED!!!,reaction,
"From a purely mechanical standpoint, Alien Isolation 2 seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
Control Resonant looks like absolute dog water. Remedy hasn't made a good game in over a decade.,hot_take,
OMG Saw Genesis LOOKS UNREAL I AM SO HYPED!!!,reaction,
I am literally crying right now. Resident Evil Code Veronica is finally real.,reaction,
I'm just going to say it: Nintendo ruined the industry and Control Resonant is just more proof of that.,hot_take,
Anyone excited for FF7 Revelation is literally part of the problem with modern gaming.,hot_take,
I am literally crying right now. Stellar Blade 2 is finally real.,reaction,
"Take my money Square Enix, Resident Evil Code Veronica looks incredible.",reaction,
Saw Genesis looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
"Given the poor sales of their last title, Square Enix banking entirely on Resident Evil Code Veronica to save their fiscal year is a massive gamble.",analysis,
I'm just going to say it: Remedy ruined the industry and Guild Wars 3 is just more proof of that.,hot_take,
Anyone excited for Gothic Remake is literally part of the problem with modern gaming.,hot_take,
The decision to make Alien Isolation 2 a live-service model completely undermines the narrative structure Shift Up is known for.,analysis,
I'm just going to say it: Nintendo ruined the industry and Stellar Blade 2 is just more proof of that.,hot_take,
You have to have zero taste to think Alien Isolation 2 looks like an actual step forward for the genre.,hot_take,
"Take my money Nintendo, Stellar Blade 2 looks incredible.",reaction,
Another completely soulless cash grab from Nintendo. Alien Isolation 2 is going to be dead on arrival.,hot_take,
I'm just going to say it: Shift Up ruined the industry and Control Resonant is just more proof of that.,hot_take,
Who actually asked for Gothic Remake? So disappointed.,reaction,
Another completely soulless cash grab from Shift Up. Gothic Remake is going to be dead on arrival.,hot_take,
"Take my money Remedy, Control Resonant looks incredible.",reaction,
Another completely soulless cash grab from Square Enix. Alien Isolation 2 is going to be dead on arrival.,hot_take,
I am literally crying right now. Resident Evil Code Veronica is finally real.,reaction,
Another completely soulless cash grab from Nintendo. Alien Isolation 2 is going to be dead on arrival.,hot_take,
I'm just going to say it: Shift Up ruined the industry and Saw Genesis is just more proof of that.,hot_take,
"From a purely mechanical standpoint, FF7 Revelation seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
The inclusion of the parry mechanic in Gothic Remake shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
"If you look closely at the lighting engine in Saw Genesis, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
"Take my money Square Enix, Guild Wars 3 looks incredible.",reaction,
"Given the poor sales of their last title, Square Enix banking entirely on Resident Evil Code Veronica to save their fiscal year is a massive gamble.",analysis,
Resident Evil Code Veronica looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
The inclusion of the multiplayer integration in Control Resonant shows that Shift Up is finally listening to player feedback regarding pacing and combat loops.,analysis,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
"Take my money Epic Games, Resident Evil Code Veronica looks incredible.",reaction,
I am literally crying right now. FF7 Revelation is finally real.,reaction,
I'm just going to say it: Remedy ruined the industry and Alien Isolation 2 is just more proof of that.,hot_take,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
I've been waiting for Resident Evil Code Veronica for literal years. Day one buy.,reaction,
I am literally crying right now. Control Resonant is finally real.,reaction,
"Take my money Shift Up, Stellar Blade 2 looks incredible.",reaction,
Who actually asked for Gothic Remake? So disappointed.,reaction,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
I'm just going to say it: Square Enix ruined the industry and Control Resonant is just more proof of that.,hot_take,
The inclusion of the multiplayer integration in Gothic Remake shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
"If you look closely at the lighting engine in Guild Wars 3, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"From a purely mechanical standpoint, Gothic Remake seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
I'm just going to say it: Nintendo ruined the industry and Gothic Remake is just more proof of that.,hot_take,
I've been waiting for FF7 Revelation for literal years. Day one buy.,reaction,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
"From a purely mechanical standpoint, Control Resonant seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
The inclusion of the open world structure in FF7 Revelation shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
OMG FF7 Revelation LOOKS UNREAL I AM SO HYPED!!!,reaction,
I am literally crying right now. Control Resonant is finally real.,reaction,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
Another completely soulless cash grab from Square Enix. Guild Wars 3 is going to be dead on arrival.,hot_take,
"If you look closely at the lighting engine in Saw Genesis, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Alien Isolation 2 looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
Another completely soulless cash grab from Shift Up. Guild Wars 3 is going to be dead on arrival.,hot_take,
"Given the poor sales of their last title, Epic Games banking entirely on Control Resonant to save their fiscal year is a massive gamble.",analysis,
Who actually asked for Gothic Remake? So disappointed.,reaction,
"Given the poor sales of their last title, Epic Games banking entirely on Alien Isolation 2 to save their fiscal year is a massive gamble.",analysis,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
You have to have zero taste to think Control Resonant looks like an actual step forward for the genre.,hot_take,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
The inclusion of the stealth elements in Alien Isolation 2 shows that Shift Up is finally listening to player feedback regarding pacing and combat loops.,analysis,
You have to have zero taste to think Control Resonant looks like an actual step forward for the genre.,hot_take,
The inclusion of the parry mechanic in FF7 Revelation shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
"Given the poor sales of their last title, Capcom banking entirely on Guild Wars 3 to save their fiscal year is a massive gamble.",analysis,
OMG Resident Evil Code Veronica LOOKS UNREAL I AM SO HYPED!!!,reaction,
I'm just going to say it: Capcom ruined the industry and Saw Genesis is just more proof of that.,hot_take,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
I've been waiting for FF7 Revelation for literal years. Day one buy.,reaction,
"If you look closely at the lighting engine in Stellar Blade 2, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"From a purely mechanical standpoint, Gothic Remake seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
FF7 Revelation looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"From a purely mechanical standpoint, Guild Wars 3 seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
Saw Genesis looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
The decision to make Stellar Blade 2 a live-service model completely undermines the narrative structure Epic Games is known for.,analysis,
I am literally crying right now. Gothic Remake is finally real.,reaction,
Who actually asked for Gothic Remake? So disappointed.,reaction,
I am literally crying right now. FF7 Revelation is finally real.,reaction,
"From a purely mechanical standpoint, Stellar Blade 2 seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
You have to have zero taste to think FF7 Revelation looks like an actual step forward for the genre.,hot_take,
I've been waiting for Resident Evil Code Veronica for literal years. Day one buy.,reaction,
"If you look closely at the lighting engine in Gothic Remake, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
I am literally crying right now. Gothic Remake is finally real.,reaction,
"Take my money Shift Up, Alien Isolation 2 looks incredible.",reaction,
Another completely soulless cash grab from Capcom. FF7 Revelation is going to be dead on arrival.,hot_take,
"Take my money Epic Games, Resident Evil Code Veronica looks incredible.",reaction,
"If you look closely at the lighting engine in Resident Evil Code Veronica, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
I'm just going to say it: Capcom ruined the industry and Alien Isolation 2 is just more proof of that.,hot_take,
I've been waiting for Saw Genesis for literal years. Day one buy.,reaction,
Another completely soulless cash grab from Square Enix. FF7 Revelation is going to be dead on arrival.,hot_take,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
Who actually asked for Saw Genesis? So disappointed.,reaction,
The inclusion of the parry mechanic in Alien Isolation 2 shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
The inclusion of the open world structure in Gothic Remake shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
"Take my money Remedy, Saw Genesis looks incredible.",reaction,
FF7 Revelation looks like absolute dog water. Square Enix hasn't made a good game in over a decade.,hot_take,
I'm just going to say it: Square Enix ruined the industry and Stellar Blade 2 is just more proof of that.,hot_take,
"Given the poor sales of their last title, Square Enix banking entirely on FF7 Revelation to save their fiscal year is a massive gamble.",analysis,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
"From a purely mechanical standpoint, Gothic Remake seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
I am literally crying right now. Control Resonant is finally real.,reaction,
Who actually asked for Saw Genesis? So disappointed.,reaction,
"Take my money Epic Games, Alien Isolation 2 looks incredible.",reaction,
The inclusion of the stealth elements in Gothic Remake shows that Epic Games is finally listening to player feedback regarding pacing and combat loops.,analysis,
"Given the poor sales of their last title, Remedy banking entirely on Gothic Remake to save their fiscal year is a massive gamble.",analysis,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
I am literally crying right now. Stellar Blade 2 is finally real.,reaction,
The inclusion of the multiplayer integration in Guild Wars 3 shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
Who actually asked for FF7 Revelation? So disappointed.,reaction,
I am literally crying right now. Alien Isolation 2 is finally real.,reaction,
Anyone excited for Guild Wars 3 is literally part of the problem with modern gaming.,hot_take,
I am literally crying right now. Resident Evil Code Veronica is finally real.,reaction,
Another completely soulless cash grab from Shift Up. FF7 Revelation is going to be dead on arrival.,hot_take,
OMG Saw Genesis LOOKS UNREAL I AM SO HYPED!!!,reaction,
"Given the poor sales of their last title, Capcom banking entirely on Alien Isolation 2 to save their fiscal year is a massive gamble.",analysis,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"Take my money Square Enix, Stellar Blade 2 looks incredible.",reaction,
I'm just going to say it: Square Enix ruined the industry and Gothic Remake is just more proof of that.,hot_take,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
I've been waiting for Guild Wars 3 for literal years. Day one buy.,reaction,
I've been waiting for Resident Evil Code Veronica for literal years. Day one buy.,reaction,
You have to have zero taste to think Stellar Blade 2 looks like an actual step forward for the genre.,hot_take,
"If you look closely at the lighting engine in Stellar Blade 2, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Who actually asked for Alien Isolation 2? So disappointed.,reaction,
I'm just going to say it: Nintendo ruined the industry and FF7 Revelation is just more proof of that.,hot_take,
"If you look closely at the lighting engine in Gothic Remake, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"Take my money Square Enix, Stellar Blade 2 looks incredible.",reaction,
The decision to make Resident Evil Code Veronica a live-service model completely undermines the narrative structure Shift Up is known for.,analysis,
"If you look closely at the lighting engine in Control Resonant, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
The inclusion of the parry mechanic in Control Resonant shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
The inclusion of the stealth elements in Control Resonant shows that Epic Games is finally listening to player feedback regarding pacing and combat loops.,analysis,
Stellar Blade 2 looks like absolute dog water. Square Enix hasn't made a good game in over a decade.,hot_take,
I'm just going to say it: Remedy ruined the industry and Alien Isolation 2 is just more proof of that.,hot_take,
Who actually asked for Stellar Blade 2? So disappointed.,reaction,
You have to have zero taste to think Control Resonant looks like an actual step forward for the genre.,hot_take,
I've been waiting for Alien Isolation 2 for literal years. Day one buy.,reaction,
"Take my money Epic Games, Saw Genesis looks incredible.",reaction,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
You have to have zero taste to think Stellar Blade 2 looks like an actual step forward for the genre.,hot_take,
I am literally crying right now. Alien Isolation 2 is finally real.,reaction,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"If you look closely at the lighting engine in Gothic Remake, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Another completely soulless cash grab from Capcom. Gothic Remake is going to be dead on arrival.,hot_take,
I am literally crying right now. Stellar Blade 2 is finally real.,reaction,
Another completely soulless cash grab from Shift Up. Alien Isolation 2 is going to be dead on arrival.,hot_take,
Anyone excited for Guild Wars 3 is literally part of the problem with modern gaming.,hot_take,
"Take my money Square Enix, Control Resonant looks incredible.",reaction,
"Take my money Nintendo, Resident Evil Code Veronica looks incredible.",reaction,
Anyone excited for Resident Evil Code Veronica is literally part of the problem with modern gaming.,hot_take,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
The inclusion of the new combat system in Gothic Remake shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
The inclusion of the new combat system in Stellar Blade 2 shows that Shift Up is finally listening to player feedback regarding pacing and combat loops.,analysis,
I've been waiting for Resident Evil Code Veronica for literal years. Day one buy.,reaction,
Anyone excited for Alien Isolation 2 is literally part of the problem with modern gaming.,hot_take,
I've been waiting for FF7 Revelation for literal years. Day one buy.,reaction,
"Given the poor sales of their last title, Capcom banking entirely on Guild Wars 3 to save their fiscal year is a massive gamble.",analysis,
Anyone excited for Control Resonant is literally part of the problem with modern gaming.,hot_take,
OMG Alien Isolation 2 LOOKS UNREAL I AM SO HYPED!!!,reaction,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
You have to have zero taste to think Gothic Remake looks like an actual step forward for the genre.,hot_take,
You have to have zero taste to think Control Resonant looks like an actual step forward for the genre.,hot_take,
OMG Resident Evil Code Veronica LOOKS UNREAL I AM SO HYPED!!!,reaction,
OMG Saw Genesis LOOKS UNREAL I AM SO HYPED!!!,reaction,
Anyone excited for Guild Wars 3 is literally part of the problem with modern gaming.,hot_take,
"If you look closely at the lighting engine in Guild Wars 3, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"If you look closely at the lighting engine in Gothic Remake, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Another completely soulless cash grab from Nintendo. Saw Genesis is going to be dead on arrival.,hot_take,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
The decision to make Alien Isolation 2 a live-service model completely undermines the narrative structure Remedy is known for.,analysis,
Alien Isolation 2 looks like absolute dog water. Capcom hasn't made a good game in over a decade.,hot_take,
"From a purely mechanical standpoint, Alien Isolation 2 seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
Another completely soulless cash grab from Nintendo. Gothic Remake is going to be dead on arrival.,hot_take,
I've been waiting for Control Resonant for literal years. Day one buy.,reaction,
"If you look closely at the lighting engine in Stellar Blade 2, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"Given the poor sales of their last title, Square Enix banking entirely on Saw Genesis to save their fiscal year is a massive gamble.",analysis,
Who actually asked for Stellar Blade 2? So disappointed.,reaction,
OMG FF7 Revelation LOOKS UNREAL I AM SO HYPED!!!,reaction,
Who actually asked for Saw Genesis? So disappointed.,reaction,
Control Resonant looks like absolute dog water. Epic Games hasn't made a good game in over a decade.,hot_take,
The inclusion of the stealth elements in FF7 Revelation shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
"Given the poor sales of their last title, Square Enix banking entirely on Saw Genesis to save their fiscal year is a massive gamble.",analysis,
The inclusion of the new combat system in Gothic Remake shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"If you look closely at the lighting engine in Control Resonant, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
I've been waiting for Guild Wars 3 for literal years. Day one buy.,reaction,
You have to have zero taste to think Alien Isolation 2 looks like an actual step forward for the genre.,hot_take,
Another completely soulless cash grab from Shift Up. Guild Wars 3 is going to be dead on arrival.,hot_take,
The decision to make Resident Evil Code Veronica a live-service model completely undermines the narrative structure Epic Games is known for.,analysis,
"Given the poor sales of their last title, Remedy banking entirely on FF7 Revelation to save their fiscal year is a massive gamble.",analysis,
I am literally crying right now. Control Resonant is finally real.,reaction,
"If you look closely at the lighting engine in Saw Genesis, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"Given the poor sales of their last title, Nintendo banking entirely on Resident Evil Code Veronica to save their fiscal year is a massive gamble.",analysis,
"Take my money Shift Up, Gothic Remake looks incredible.",reaction,
OMG FF7 Revelation LOOKS UNREAL I AM SO HYPED!!!,reaction,
